Property ID,Region,Province,District,Locality,PostalCode,Street,Price,PriceType,PropertyType,PropertySubtype,BedroomCount,LivingArea,KitchenType,Furnished,Open_fire,SwimmingPool,Terrace_Area,Garden_Area,FacadeCount,FloorCount,ConstructionYear,StateBuilding,LandWidth,LandSurface,EPCScore,ScrapedURL,HasTerrace,HasGarden
20240612,Flanders,Antwerp,Antwerp,KAPELLEN,2950,Ertbrandstraat,343500,residential_sale,APARTMENT,APARTMENT,2.0,95.0,HYPER_EQUIPPED,0,0,0,13.0,,4.0,3.0,2024.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/kapellen/2950/20240612,1,0
20240610,Flanders,Antwerp,Antwerp,KAPELLEN,2950,Ertbrandstraat,378500,residential_sale,APARTMENT,APARTMENT,3.0,107.0,HYPER_EQUIPPED,0,0,0,43.0,,4.0,3.0,2024.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/kapellen/2950/20240610,1,0
20240598,Flanders,West Flanders,Veurne,Nieuwpoort,8620,Albert I-Laan,319500,residential_sale,APARTMENT,APARTMENT,2.0,71.0,,0,0,0,15.0,,,4.0,2026.0,,,,A++,https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/20240598,1,0
20240594,Flanders,Limburg,Hasselt,Sint-Truiden,3800,Zoutstraat,239000,residential_sale,APARTMENT,APARTMENT,3.0,108.0,INSTALLED,0,0,0,,,2.0,4.0,1978.0,GOOD,,,C,https://www.immoweb.be/en/classified/apartment/for-sale/sint-truiden/3800/20240594,0,0
20240597,Flanders,East Flanders,Sint-Niklaas,Lokeren,9160,,325000,residential_sale,APARTMENT,APARTMENT,2.0,106.0,INSTALLED,0,0,0,,,,6.0,2012.0,AS_NEW,,,,https://www.immoweb.be/en/classified/apartment/for-sale/lokeren/9160/20240597,0,0
20240592,Flanders,East Flanders,Aalst,Denderleeuw,9470,A. Rodenbachstraat,169000,residential_sale,APARTMENT,GROUND_FLOOR,2.0,102.0,INSTALLED,0,0,0,,,2.0,,,TO_RENOVATE,,,E,https://www.immoweb.be/en/classified/ground-floor/for-sale/denderleeuw/9470/20240592,0,0
20221807,Brussels,Brussels,Brussels,Uccle,1180,Avenue du Fort-Jaco,395000,residential_sale,APARTMENT,APARTMENT,2.0,85.0,INSTALLED,0,0,0,3.0,,2.0,4.0,1950.0,AS_NEW,,,C,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20221807,1,0
20221808,Brussels,Brussels,Brussels,Uccle,1180,Avenue du Fort-Jaco,395000,residential_sale,APARTMENT,APARTMENT,2.0,85.0,INSTALLED,0,0,0,3.0,,2.0,4.0,1950.0,JUST_RENOVATED,,,C,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20221808,1,0
20221853,Brussels,Brussels,Brussels,Etterbeek,1040,Place du Roi Vainqueur,470000,residential_sale,APARTMENT,APARTMENT,3.0,108.0,,0,0,0,3.0,,2.0,,1955.0,GOOD,,,D,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/20221853,1,0
20221810,Brussels,Brussels,Brussels,Woluwe-Saint-Lambert,1200,Boulevard De La Woluwe - Woluwedal,239000,residential_sale,APARTMENT,APARTMENT,2.0,77.0,INSTALLED,0,0,0,18.0,,,,1970.0,GOOD,,,B,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20221810,1,0
20221775,Brussels,Brussels,Brussels,Auderghem,1160,,450000,residential_sale,APARTMENT,APARTMENT,2.0,86.0,,0,0,0,10.0,,2.0,,2024.0,AS_NEW,,,,https://www.immoweb.be/en/classified/apartment/for-sale/auderghem/1160/20221775,1,0
20221840,Brussels,Brussels,Brussels,Anderlecht,1070,Wayezstraat,200000,residential_sale,APARTMENT,APARTMENT,2.0,66.0,HYPER_EQUIPPED,0,0,0,3.0,,2.0,3.0,1930.0,AS_NEW,,,D,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20221840,1,0
20221647,Brussels,Brussels,Brussels,Uccle,1180,,395000,residential_sale,APARTMENT,APARTMENT,2.0,85.0,HYPER_EQUIPPED,0,0,0,3.0,,2.0,4.0,1950.0,AS_NEW,,,C,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20221647,1,0
20221785,Brussels,Brussels,Brussels,Woluwe-Saint-Lambert,1200,Avenue Gilbert Mullie - Gilbert Mullielaan,325000,residential_sale,APARTMENT,APARTMENT,2.0,79.0,INSTALLED,0,1,0,3.0,,2.0,,1980.0,JUST_RENOVATED,,,D,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20221785,1,0
20221705,Brussels,Brussels,Brussels,Evere,1140,,219000,residential_sale,APARTMENT,APARTMENT,2.0,68.0,,0,0,0,10.0,,,,,JUST_RENOVATED,,,E,https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/20221705,1,0
20221626,Brussels,Brussels,Brussels,Etterbeek,1040,Avenue Des Casernes - Kazernenlaan,265000,residential_sale,APARTMENT,APARTMENT,1.0,70.0,HYPER_EQUIPPED,0,0,0,,,2.0,3.0,,GOOD,,,G,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/20221626,0,0
10267272,Brussels,Brussels,Brussels,Evere,1140,,230000,residential_sale,APARTMENT,FLAT_STUDIO,0.0,40.0,HYPER_EQUIPPED,0,0,0,9.0,,,13.0,2019.0,AS_NEW,,,B,https://www.immoweb.be/en/classified/flat-studio/for-sale/evere/1140/10267272,1,0
20221680,Brussels,Brussels,Brussels,Auderghem,1160,Guillaume Dekelver,380000,residential_sale,APARTMENT,GROUND_FLOOR,2.0,80.0,INSTALLED,0,0,0,4.0,,3.0,2.0,1950.0,AS_NEW,,,C,https://www.immoweb.be/en/classified/ground-floor/for-sale/auderghem/1160/20221680,1,0
20221603,Brussels,Brussels,Brussels,Uccle,1180,,239000,residential_sale,APARTMENT,APARTMENT,1.0,56.0,INSTALLED,0,0,0,,,2.0,3.0,,AS_NEW,,,G,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20221603,0,0
20221570,Brussels,Brussels,Brussels,Schaerbeek,1030,Rue Eugène Smits - Eugène Smitsstraat,230000,residential_sale,APARTMENT,APARTMENT,2.0,77.0,INSTALLED,0,0,0,,,2.0,,,,,,C,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/20221570,0,0
20221636,Brussels,Brussels,Brussels,Uccle,1180,,579000,residential_sale,APARTMENT,GROUND_FLOOR,3.0,115.0,,0,0,0,20.0,250.0,,,,,,,F,https://www.immoweb.be/en/classified/ground-floor/for-sale/uccle/1180/20221636,1,1
20221453,Brussels,Brussels,Brussels,GANSHOREN,1083,Avenue de l'Exposition Universelle,225000,residential_sale,APARTMENT,APARTMENT,2.0,93.0,SEMI_EQUIPPED,0,0,0,3.0,,3.0,4.0,1993.0,TO_BE_DONE_UP,,,G,https://www.immoweb.be/en/classified/apartment/for-sale/ganshoren/1083/20221453,1,0
20221577,Brussels,Brussels,Brussels,MOLENBEEK-SAINT-JEAN,1080,Boulevard Edmond Machtens,285000,residential_sale,APARTMENT,APARTMENT,3.0,105.0,INSTALLED,0,0,0,5.0,,2.0,5.0,1961.0,GOOD,,,E,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20221577,1,0
20221486,Brussels,Brussels,Brussels,Brussels,1000,Rue Brogniez,365000,residential_sale,APARTMENT,LOFT,1.0,113.0,,0,0,0,33.0,,2.0,3.0,,AS_NEW,,,D,https://www.immoweb.be/en/classified/loft/for-sale/brussels/1000/20221486,1,0
20221575,Brussels,Brussels,Brussels,Anderlecht,1070,Rue Van Soust,270000,residential_sale,APARTMENT,APARTMENT,2.0,75.0,HYPER_EQUIPPED,1,0,0,8.0,,,4.0,1994.0,AS_NEW,,,,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20221575,1,0
20221558,Brussels,Brussels,Brussels,Anderlecht,1070,Rue Brogniez,365000,residential_sale,APARTMENT,LOFT,1.0,113.0,,0,0,0,33.0,,2.0,3.0,,AS_NEW,,,D,https://www.immoweb.be/en/classified/loft/for-sale/anderlecht/1070/20221558,1,0
20242040,Flanders,Antwerp,Antwerp,Antwerpen,2100,Alfons Schneiderlaan,335000,residential_sale,APARTMENT,GROUND_FLOOR,3.0,95.0,,0,0,0,15.0,75.0,,2.0,1960.0,GOOD,,,B,https://www.immoweb.be/en/classified/ground-floor/for-sale/antwerpen/2100/20242040,1,1
20242037,Flanders,Antwerp,Antwerp,Antwerpen,2100,Alfons Schneiderlaan,299000,residential_sale,APARTMENT,APARTMENT,3.0,93.0,,0,0,0,8.0,,,2.0,1960.0,GOOD,,,B,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2100/20242037,1,0
20221429,Brussels,Brussels,Brussels,EVERE,1140,Rue Pierre van Obberghen,270000,residential_sale,APARTMENT,APARTMENT,1.0,93.0,SEMI_EQUIPPED,0,0,0,,100.0,2.0,,,TO_BE_DONE_UP,,,E,https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/20221429,0,1
20242038,Flanders,Antwerp,Antwerp,Antwerpen,2100,Alfons Schneiderlaan,305000,residential_sale,APARTMENT,APARTMENT,3.0,93.0,,0,0,0,8.0,,,2.0,1960.0,GOOD,,,B,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2100/20242038,1,0
20194162,Flanders,West Flanders,Oostend,Oostende,8400,Torhoutsesteenweg,235000,residential_sale,APARTMENT,APARTMENT,2.0,83.0,,0,0,0,,,,,,GOOD,,,A,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20194162,0,0
20222920,Flanders,West Flanders,Oostend,Oostende,8400,Christinastraat,257500,residential_sale,APARTMENT,DUPLEX,4.0,120.0,,0,0,0,,,,4.0,1930.0,GOOD,,,B,https://www.immoweb.be/en/classified/duplex/for-sale/oostende/8400/20222920,0,0
20194171,Flanders,West Flanders,Oostend,Oostende,8400,Torhoutsesteenweg,230000,residential_sale,APARTMENT,APARTMENT,2.0,83.0,,0,0,0,,,,,,GOOD,,,A,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20194171,0,0
