Property ID,Region,Province,District,Locality,PostalCode,Street,Price,PriceType,PropertyType,PropertySubtype,BedroomCount,LivingArea,KitchenType,Furnished,Open_fire,SwimmingPool,Terrace_Area,Garden_Area,FacadeCount,FloorCount,ConstructionYear,StateBuilding,LandWidth,LandSurface,EPCScore,ScrapedURL,HasTerrace,HasGarden
20238041,Flanders,West Flanders,Brugge,Brugge,8000,Driekroezenstraat,299000,residential_sale,HOUSE,HOUSE,2.0,122.0,INSTALLED,0,0,0,30.0,,2.0,2.0,,GOOD,5.0,98.0,C,https://www.immoweb.be/en/classified/house/for-sale/brugge/8000/20238041,1,0
20238020,Flanders,West Flanders,Oostend,Oostende,8400,Zelliklaan,284000,residential_sale,HOUSE,HOUSE,6.0,211.0,NOT_INSTALLED,0,0,0,,99.0,2.0,4.0,1918.0,TO_RENOVATE,15.0,194.0,F,https://www.immoweb.be/en/classified/house/for-sale/oostende/8400/20238020,0,1
20238025,Wallonie,Liège,Liège,Ans,4430,Rue Bonne Nouvelle,499000,residential_sale,HOUSE,HOUSE,4.0,118.0,INSTALLED,0,0,0,6.0,4128.0,4.0,1.0,1977.0,GOOD,17.0,4454.0,G,https://www.immoweb.be/en/classified/house/for-sale/ans/4430/20238025,1,1
20238016,Flanders,Flemish Brabant,Halle-Vilvoorde,Affligem,1790,Fosselstraat,399000,residential_sale,HOUSE,HOUSE,3.0,139.0,,0,0,0,,,3.0,,2006.0,GOOD,0.0,290.0,B,https://www.immoweb.be/en/classified/house/for-sale/affligem/1790/20238016,0,0
20238009,Flanders,East Flanders,Aalst,Lede,9340,Kapellenhoek,415000,residential_sale,HOUSE,HOUSE,4.0,270.0,INSTALLED,0,0,0,,,3.0,,,,0.0,282.0,D,https://www.immoweb.be/en/classified/house/for-sale/lede/9340/20238009,0,0
20200283,Brussels,Brussels,Brussels,Ixelles,1050,Rue du Printemps,850000,residential_sale,HOUSE,HOUSE,5.0,232.0,NOT_INSTALLED,0,0,0,22.0,22.0,2.0,3.0,2026.0,,0.0,0.0,B,https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/20200283,1,1
20200271,Brussels,Brussels,Brussels,Ixelles,1050,Rue du Printemps,799000,residential_sale,HOUSE,HOUSE,1.0,226.0,NOT_INSTALLED,0,0,0,29.0,33.0,2.0,3.0,2026.0,,0.0,0.0,B,https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/20200271,1,1
20200282,Brussels,Brussels,Brussels,Ixelles,1050,Rue du Printemps,1199000,residential_sale,HOUSE,HOUSE,5.0,409.0,NOT_INSTALLED,0,0,0,18.0,41.0,2.0,3.0,2026.0,,0.0,0.0,B,https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/20200282,1,1
20238446,Flanders,Antwerp,Antwerp,Kalmthout,2920,Groenendriesstraat,945000,residential_sale,HOUSE,HOUSE,3.0,257.0,INSTALLED,0,0,0,50.0,,4.0,,1875.0,AS_NEW,0.0,6843.0,A,https://www.immoweb.be/en/classified/house/for-sale/kalmthout/2920/20238446,1,0
20030576,Brussels,Brussels,Brussels,Molenbeek-Saint-Jean,1080,,529000,residential_sale,HOUSE,HOUSE,4.0,200.0,INSTALLED,0,0,0,,,3.0,,,,0.0,276.0,,https://www.immoweb.be/en/classified/house/for-sale/molenbeek-saint-jean/1080/20030576,0,0
20200232,Brussels,Brussels,Brussels,Anderlecht,1070,Boulevard Jules Graindor,419000,residential_sale,HOUSE,HOUSE,3.0,185.0,INSTALLED,0,0,0,48.0,100.0,2.0,2.0,1959.0,TO_RENOVATE,6.0,180.0,F,https://www.immoweb.be/en/classified/house/for-sale/anderlecht/1070/20200232,1,1
20200106,Brussels,Brussels,Brussels,Jette,1090,Drève De Dieleghem - Dieleghemdreef,619000,residential_sale,HOUSE,VILLA,5.0,220.0,INSTALLED,0,0,0,1.0,1.0,4.0,,,,0.0,0.0,E,https://www.immoweb.be/en/classified/villa/for-sale/jette/1090/20200106,1,1
20200155,Brussels,Brussels,Brussels,Ixelles,1050,Rue du Vivier,490000,residential_sale,HOUSE,HOUSE,3.0,150.0,INSTALLED,0,0,0,4.0,30.0,2.0,2.0,1960.0,TO_RENOVATE,0.0,0.0,G,https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/20200155,1,1
20239910,Flanders,West Flanders,Veurne,Nieuwpoort,8620,Jozef Cardijnlaan,635000,residential_sale,HOUSE,HOUSE,4.0,187.0,,0,0,0,,,,,2024.0,GOOD,0.0,296.0,A,https://www.immoweb.be/en/classified/house/for-sale/nieuwpoort/8620/20239910,0,0
20075894,Flanders,West Flanders,Veurne,Nieuwpoort,8620,Canadalaan,315000,residential_sale,HOUSE,HOUSE,7.0,290.0,,0,0,0,,,,,1928.0,TO_RENOVATE,0.0,242.0,D,https://www.immoweb.be/en/classified/house/for-sale/nieuwpoort/8620/20075894,0,0
20239886,Flanders,Flemish Brabant,Halle-Vilvoorde,Zellik,1731,Brusselsesteenweg,699000,residential_sale,HOUSE,HOUSE,4.0,350.0,INSTALLED,0,0,0,,350.0,,,1960.0,GOOD,0.0,0.0,D,https://www.immoweb.be/en/classified/house/for-sale/zellik/1731/20239886,0,1
20239890,Flanders,Antwerp,Antwerp,Stabroek,2940,De Croone,424000,residential_sale,HOUSE,HOUSE,4.0,186.0,INSTALLED,0,0,0,,792.0,,,1978.0,GOOD,0.0,792.0,D,https://www.immoweb.be/en/classified/house/for-sale/stabroek/2940/20239890,0,1
20239867,Flanders,West Flanders,Brugge,Heist-aan-Zee,8301,Sint-Antoniusstraat,785000,residential_sale,HOUSE,HOUSE,4.0,175.0,,0,0,0,20.0,,2.0,3.0,,AS_NEW,6.0,146.0,B,https://www.immoweb.be/en/classified/house/for-sale/heist-aan-zee/8301/20239867,1,0
20239881,Flanders,East Flanders,Gent,Evergem,9940,Doornzeelsestraat,405000,residential_sale,HOUSE,HOUSE,4.0,159.0,INSTALLED,0,0,0,,,,,1972.0,GOOD,0.0,1228.0,D,https://www.immoweb.be/en/classified/house/for-sale/evergem/9940/20239881,0,0
20239876,Flanders,East Flanders,Oudenaarde,Oudenaarde,9700,Weversstraat,339000,residential_sale,HOUSE,HOUSE,3.0,171.0,INSTALLED,0,0,0,,,,,2006.0,GOOD,0.0,323.0,B,https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/20239876,0,0
20239836,Flanders,East Flanders,Eeklo,Eeklo,9900,Koning Boudewijnlaan,535000,residential_sale,HOUSE,HOUSE,4.0,272.0,,0,0,0,,,4.0,,1969.0,AS_NEW,21.0,983.0,B,https://www.immoweb.be/en/classified/house/for-sale/eeklo/9900/20239836,0,0
20239837,Flanders,West Flanders,Tielt,Tielt,8700,Stedemolenstraat,295000,residential_sale,HOUSE,HOUSE,4.0,161.0,,0,0,0,40.0,90.0,2.0,3.0,1932.0,AS_NEW,5.0,159.0,D,https://www.immoweb.be/en/classified/house/for-sale/tielt/8700/20239837,1,1
20239835,Flanders,West Flanders,Brugge,Knokke-Heist,8300,Varenstraat,1095000,residential_sale,HOUSE,HOUSE,4.0,222.0,,0,0,0,,,4.0,,1980.0,GOOD,0.0,0.0,C,https://www.immoweb.be/en/classified/house/for-sale/knokke-heist/8300/20239835,0,0
